kerajaan;orang;peran;ayah;ibu;pasangan;anak;namaKerajaan;ibuKota;agama;pendahulu;penerus;tahunMulai;wikidataID;tglLahir;tglMati;saudara;kerabat;dinasti;personWikidataID;orang_PageRank;orang_Louvain_Cluster;kerajaan_PageRank;kerajaan_Louvain_Cluster
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Ratu Ratna Pembayun;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;0.002370326511788625;7;0.012237431168675175;6
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Ratu Ratna Pembayun;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;0.002370326511788625;7;0.012237431168675175;6
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Ratu Ratna Pembayun;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;1292.0;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;0.002370326511788625;7;0.012237431168675175;6
Majapahit;Kertabhumi;Raja (penguasa);Rajasawardhana;;;Ratu Ratna Pembayun;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;1478-01-01T00:00:00Z;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q127373583;0.002370326511788625;7;0.012237431168675175;6
Kesultanan Aceh;Safiatuddin dari Aceh;;Iskandar Muda dari Aceh;;Iskandar Tsani dari Aceh;;;Banda Aceh, Indrapuri, Aceh Besar;Sunni Islam;Lambri, Pasai, Pidie;Dutch East Indies;1496.0;;1612-01-01T00:00:00Z;1675-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q7676752;0.0042419428483027755;18;0.04448712404495881;18
Kesultanan Aceh;Nuruddin al-Raniri;;Ali ibnu Hasanji ibnu Muhammad Hamid ar-Raniri al-Quraisyi;;;;;Banda Aceh, Indrapuri, Aceh Besar;Sunni Islam;Lambri, Pasai, Pidie;Dutch East Indies;1496.0;;http://www.wikidata.org/.well-known/genid/d0bb1675fb12f03a03c16b47017767af;1658-09-21T00:00:00Z;;;;http://www.wikidata.org/entity/Q7070303;0.0019840325587610046;18;0.04448712404495881;18
Kesultanan Aceh;Husain Ali Riayat Syah dari Aceh;;Alauddin al-Qahhar dari Aceh;;;Muda dari Aceh;;Banda Aceh, Indrapuri, Aceh Besar;Sunni Islam;Lambri, Pasai, Pidie;Dutch East Indies;1496.0;;;1579-06-08T00:00:00Z;;;;http://www.wikidata.org/entity/Q12709858;0.004664501792349814;18;0.04448712404495881;18
Kesultanan Demak;Sunan Gunung Jati;;Syarif Abdullah Umdatuddin;;;Maulana Hasanuddin;;;;;;;;1448-01-01T00:00:00Z;1569-01-01T00:00:00Z;;;Alawiyyin;http://www.wikidata.org/entity/Q4201195;0.0036130084248883324;4;0.004438479049294041;8
kerajaan demak;Sunan Bonang;;Sunan Ampel;;;;;;;;;;;1465-01-01T00:00:00Z;1525-01-01T00:00:00Z;Sunan Drajat;Sunan Giri;;http://www.wikidata.org/entity/Q7443276;0.0019840325587610046;8;0.0024057073328003983;8
Kesultanan Banten;Maulana Muhammad;;Maulana Yusuf;;;Abu al-Mafakhir;;;;;;;;;1596-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q19729041;0.004514735815074385;13;0.017186793457396026;13
Kesultanan Cirebon;Sunan Gunung Jati;;Syarif Abdullah Umdatuddin;;;Maulana Hasanuddin;;;;;;;;1448-01-01T00:00:00Z;1569-01-01T00:00:00Z;;;Alawiyyin;http://www.wikidata.org/entity/Q4201195;0.0036130084248883324;4;0.004920134662767006;4
